probeID,chrm,start,end,GeneNames,GeneClasses,CGIPosition,MethylScore Coefficients
cg16280363,chr12,57489107,57489109,ARHGAP9,protein_coding,S_Shore,
cg16280363,chr12,57489107,57489109,MARS,protein_coding,S_Shore,
cg09218727,chr10,104350553,104350555,.,.,.,
cg25074809,chr2,15945893,15945895,MYCN,protein_coding,S_Shelf,
cg06715885,chr12,57201608,57201610,LRP1,protein_coding,N_Shore,
cg03040821,chr1,212792866,212792868,TATDN3,protein_coding,S_Shore,
cg03040821,chr1,212792866,212792868,NSL1,protein_coding,S_Shore,
cg27064178,chr22,49784571,49784573,BRD1,protein_coding,Island,
cg05974498,chr19,52096002,52096004,ZNF841,protein_coding,S_Shore,
cg05974498,chr19,52096002,52096004,ZNF432,protein_coding,S_Shore,
cg26925717,chr14,20999156,20999158,SLC39A2,protein_coding;antisense,.,
cg26925717,chr14,20999156,20999158,RP11-84C10.4,protein_coding;antisense,.,
cg27396056,chr3,188947203,188947205,TPRG1,lincRNA;protein_coding,N_Shore,
cg27396056,chr3,188947203,188947205,TPRG1-AS1,lincRNA;protein_coding,N_Shore,
cg04543865,chr16,81313945,81313947,RP11-55K13.1,protein_coding;antisense,N_Shore,
cg04543865,chr16,81313945,81313947,GAN,protein_coding;antisense,N_Shore,
cg11039729,chr10,35379396,35379398,CCNY,protein_coding,.,
cg01476568,chr10,5692752,5692754,FAM208B,protein_coding,.,
cg06605704,chr16,4501145,4501147,HMOX2,protein_coding,.,
cg20435097,chr10,124632254,124632256,RP11-12J10.3,protein_coding,.,
cg20435097,chr10,124632254,124632256,FAM53B,protein_coding,.,
cg17082549,chr3,128620009,128620011,RPN1,protein_coding,S_Shore,
cg15711288,chr3,150783114,150783116,.,.,S_Shelf,
cg03233656,chr2,64987490,64987492,SLC1A4,protein_coding,N_Shore,
cg14287724,chr1,1170137,1170139,RP11-465B22.8,lincRNA,N_Shelf,
cg08530484,chr2,219159883,219159885,NHEJ1,protein_coding,N_Shore,
cg08530484,chr2,219159883,219159885,RP11-33O4.2,protein_coding,N_Shore,
cg22760287,chr11,107705174,107705176,.,.,.,
cg09941713,chr8,60792772,60792774,CHD7,protein_coding,.,
cg06956444,chr1,7941248,7941250,RP5-892F13.2,processed_pseudogene;protein_coding,N_Shore,
cg06956444,chr1,7941248,7941250,TNFRSF9,processed_pseudogene;protein_coding,N_Shore,
